Song Titles,Artist,Year
Keep Them Kisses Comin',Craig Campbell,2014
The Big Bang,Katy Tiz,2014
Good Kisser,Usher,2014
I Can't Make You Love Me,Josh Kaufman,2014
Chandelier,Sia,2014
How To Love,Christina Grimmie,2014
I Choose You,Sara Bareilles,2014
Come Get It Bae,Pharrell Williams,2014
River Bank,Brad Paisley,2014
2 On,Tinashe Featuring ScHoolboy Q,2014
17 Again,Brantley Gilbert,2014
Don't Stop,5 Seconds Of Summer,2014
One,Ed Sheeran,2014
Drunk On A Plane,Dierks Bentley,2014
Main Chick,Kid Ink Featuring Chris Brown,2014
Chainsaw,The Band Perry,2014
Heaven,Jake Worthington,2014
Billie Jean,Michael Jackson,2014
Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014
Slave To The Rhythm,Michael Jackson,2014
Pills N Potions,Nicki Minaj,2014
Somebody That I Used To Know,Christina Grimmie & Adam Levine,2014
Can't Help Falling In Love,Christina Grimmie,2014
Bartender,Lady Antebellum,2014
Leave Your Lover,Sam Smith,2014
Dare (La La La),Shakira,2014
Tennis Court,Lorde,2014
Good Girls,5 Seconds Of Summer,2014
Believe Me,Lil Wayne Featuring Drake,2014
Habits (Stay High),Tove Lo,2014
Shades Of Cool,Lana Del Rey,2014
Trumpets,Jason Derulo,2014
XO,John Mayer,2014
I Got A Car,George Strait,2014
Meanwhile Back At Mama's,Tim McGraw Featuring Faith Hill,2014
Boom Clap,Charli xcx,2014
I'm Not The Only One,Sam Smith,2014
Ultraviolence,Lana Del Rey,2014
Day Drinking,Little Big Town,2014
Shower,Becky G,2014
Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014
Ready Set Roll,Chase Rice,2014
Wasted,Tiesto Featuring Matthew Koma,2014
Song About A Girl,Eric Paslay,2014
I'm Ready,AJR,2014
Hangover,PSY Featuring Snoop Dogg,2014
Don't,Ed Sheeran,2014
Really Don't Care,Demi Lovato Featuring Cher Lloyd,2014
V. 3005,Childish Gambino,2014
Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,2014
Rather Be,Clean Bandit Featuring Jess Glynne,2014
Hope You Get Lonely Tonight,Cole Swindell,2014
Jungle,Jamie N Commons & X Ambassadors,2014
Maps,Maroon 5,2014
Kiss Me Kiss Me,5 Seconds Of Summer,2014
Afire Love,Ed Sheeran,2014
No Mediocre,T.I. Featuring Iggy Azalea,2014
American Kids,Kenny Chesney,2014
First Love,Jennifer Lopez,2014
Life Of The Party,Shawn Mendes,2014
Get Her Back,Robin Thicke,2014
Don't Tell 'Em,Jeremih Featuring YG,2014
Riptide,Vance Joy,2014
Leave The Night On,Sam Hunt,2014
She Twerkin,Ca$h Out,2014
Break Free,Ariana Grande Featuring Zedd,2014
Amnesia,5 Seconds Of Summer,2014
Foreign,Trey Songz,2014
New Flame,Chris Brown Featuring Usher & Rick Ross,2014
Calm Down,Busta Rhymes Featuring Eminem,2014
Black Widow,Iggy Azalea Featuring Rita Ora,2014
Ten Feet Tall,Afrojack Featuring Wrabel,2014
Dirt,Florida Georgia Line,2014
Bo$$,Fifth Harmony,2014
You & I (Nobody In The World),John Legend,2014
Try,Colbie Caillat,2014
All About That Bass,Meghan Trainor,2014
Cool Kids,Echosmith,2014
Fight Night,Migos,2014
Dust,Eli Young Band,2014
Sunshine & Whiskey,Frankie Ballard,2014
Everything I Didn't Say,5 Seconds Of Summer,2014
Word Crimes,"""Weird Al"" Yankovic",2014
Roller Coaster,Luke Bryan,2014
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014
Hideaway,Kiesza,2014
Burnin' It Down,Jason Aldean,2014
0 To 100 / The Catch Up,Drake,2014
Happy Little Pill,Troye Sivan,2014
Stolen Dance,Milky Chance,2014
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014
It Was Always You,Maroon 5,2014
Girl In A Country Song,Maddie & Tae,2014
Chasing The Sun,Hilary Duff,2014
This Is How We Do,Katy Perry,2014
Hot Boy,Bobby Shmurda,2014
No Flex Zone,Rae Sremmurd,2014
I Will Never Let You Down,Rita Ora,2014
Anaconda,Nicki Minaj,2014
Wild Life,Jack & Jack,2014
Fireball,Pitbull Featuring John Ryan,2014
Cold One,Eric Church,2014
About The Money,T.I. Featuring Young Thug,2014
Best Mistake,Ariana Grande Featuring Big Sean,2014
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",2014
Hookah,Tyga Featuring Young Thug,2014
Take Me To Church,Hozier,2014
Later On,The Swon Brothers,2014
Shake It Off,Taylor Swift,2014
Neon Light,Blake Shelton,2014
Animals,Maroon 5,2014
Waves,Mr. Probz,2014
Delirious (Boneless),"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",2014
Walk Thru,Rich Homie Quan Featuring Problem,2014
Guts Over Fear,Eminem Featuring Sia,2014
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2014
She Came To Give It To You,Usher Featuring Nicki Minaj,2014
Somewhere In My Car,Keith Urban,2014
24 Hours,TeeFLii Featuring 2 Chainz,2014
Sweet Little Somethin',Jason Aldean,2014
Seen It All,Jeezy Featuring Jay Z,2014
Secrets,Mary Lambert,2014
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2014
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2014
Look At You,Big & Rich,2014
Centuries,Fall Out Boy,2014
Blame,Calvin Harris Featuring John Newman,2014
Two Night Town,Jason Aldean,2014
Jealous,Nick Jonas,2014
Angel In Blue Jeans,Train,2014
Bend Ova,Lil Jon Featuring Tyga,2014
Dear Future Husband,Meghan Trainor,2014
Booty,Jennifer Lopez Featuring Iggy Azalea Or Pitbull,2014
Gonna Know We Were Here,Jason Aldean,2014
No Love,August Alsina,2014
Sun Daze,Florida Georgia Line,2014
Superheroes,The Script,2014
X,Chris Brown,2014
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,2014
i,Kendrick Lamar,2014
Tonight Looks Good On You,Jason Aldean,2014
I Don't F**k With You,Big Sean Featuring E-40,2014
Anything Goes,Florida Georgia Line,2014
No Type,Rae Sremmurd,2014
Tuesday,I LOVE MAKONNEN Featuring Drake,2014
Handsome & Wealthy,Migos,2014
Feelin' It,Scotty McCreery,2014
Close Your Eyes,Parmalee,2014
Left Hand Free,alt-J,2014
Steal My Girl,One Direction,2014
Something In The Water,Carrie Underwood,2014
Just Gettin' Started,Jason Aldean,2014
Bumpin' The Night,Florida Georgia Line,2014
Yellow Flicker Beat,Lorde,2014
Heroes (We Could Be),Alesso Featuring Tove Lo,2014
U Guessed It,OG Maco Featuring 2 Chainz,2014
Shotgun Rider,Tim McGraw,2014
EW!,Jimmy Fallon Featuring will.i.am,2014
Sippin' On Fire,Florida Georgia Line,2014
Thinking Out Loud,Ed Sheeran,2014
The Days,Avicii,2014
Love Me Harder,Ariana Grande & The Weeknd,2014
Perfect Storm,Brad Paisley,2014
L.A.LOVE (la la),Fergie,2014
Errrbody,Yo Gotti,2014
Body Language,Kid Ink Featuring Usher & Tinashe,2014
Out Of The Woods,Taylor Swift,2014
In Your Arms,Nico & Vinz,2014
Burnin' Up,Jessie J Featuring 2 Chainz,2014
I'm Not Gonna Miss You,Glen Campbell,2014
Bobby Bitch,Bobby Shmurda,2014
Often,The Weeknd,2014
Drinking Class,Lee Brice,2014
Baby Don't Lie,Gwen Stefani,2014
Welcome To New York,Taylor Swift,2014
Try Me,DeJ Loaf,2014
Outside,Calvin Harris Featuring Ellie Goulding,2014
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2014
Talladega,Eric Church,2014
Beg For It,Iggy Azalea Featuring M0,2014
Lips Are Movin,Meghan Trainor,2014
Dangerous,David Guetta Featuring Sam Martin,2014
Made Me,Snootie Wild Featuring K Camp,2014
God Made Girls,RaeLynn,2014
Blank Space,Taylor Swift,2014
Thriller,Michael Jackson,2014
I Bet My Life,Imagine Dragons,2014
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2014
Style,Taylor Swift,2014
I Won't Let You Down,OK Go,2014
Ghost,Ella Henderson,2014
Wildest Dreams,Taylor Swift,2014
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2014
Til It's Gone,Kenny Chesney,2014
The Heart Wants What It Wants,Selena Gomez,2014
Ready To Run,One Direction,2014
Something Big,Shawn Mendes,2014
Mean To Me,Brett Eldredge,2014
Homegrown Honey,Darius Rucker,2014
Shut Up And Dance,WALK THE MOON,2014
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2014
18,One Direction,2014
Where Do Broken Hearts Go,One Direction,2014
Make Me Wanna,Thomas Rhett,2014
She Knows,Ne-Yo Featuring Juicy J,2014
"Mary, Did You Know?",Pentatonix,2014
Night Changes,One Direction,2014
Do They Know It's Christmas? (2014),Band Aid 30,2014
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,2014
CoCo,O.T. Genasis,2014
Baby It's Cold Outside,Idina Menzel Duet With Michael Buble,2014
Take Me To Church,Matt McAndrew,2014
I Don't Mind,Usher Featuring Juicy J,2014
Stockholm Syndrome,One Direction,2014
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2014
11-Jul,Beyonce,2014
Santa Tell Me,Ariana Grande,2014
I Lived,OneRepublic,2014
I Walk The Line,Craig Wayne Boyd,2014
I See You,Luke Bryan,2014
Sledgehammer,Fifth Harmony,2014
Time Of Our Lives,Pitbull & Ne-Yo,2014
Make It Rain,Ed Sheeran,2014
The Blower's Daughter,Matt McAndrew,2014
Prayer In C,Lillywood & Robin Schulz,2014
Geronimo,Sheppard,2014
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2014
Like A Cowboy,Randy Houser,2014
Royals,Taylor John Williams,2014
The Old Rugged Cross,Craig Wayne Boyd,2014
Wet Dreamz,J. Cole,2014
Make It Rain,Matt McAndrew,2014
Have Yourself A Merry Little Christmas,Sam Smith,2014
Come Join The Murder,The White Buffalo & The Forest Rangers,2014
No Role Modelz,J. Cole,2014
When I Was Your Man,Chris Jamison,2014
Break The Rules,Charli xcx,2014
Blank Space,Taylor Swift,2015
Take Me To Church,Hozier,2015
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
Thinking Out Loud,Ed Sheeran,2015
Lips Are Movin,Meghan Trainor,2015
I'm Not The Only One,Sam Smith,2015
Love Me Harder,Ariana Grande & The Weeknd,2015
Jealous,Nick Jonas,2015
Animals,Maroon 5,2015
All About That Bass,Meghan Trainor,2015
Shake It Off,Taylor Swift,2015
I Don't F**k With You,Big Sean Featuring E-40,2015
The Heart Wants What It Wants,Selena Gomez,2015
Wasted Love,Matt McAndrew,2015
Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015
Habits (Stay High),Tove Lo,2015
Tuesday,I LOVE MAKONNEN Featuring Drake,2015
Waves,Mr. Probz,2015
Don't,Ed Sheeran,2015
Centuries,Fall Out Boy,2015
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015
No Type,Rae Sremmurd,2015
11-Jul,Beyonce,2015
Hot Boy,Bobby Shmurda,2015
Blame,Calvin Harris Featuring John Newman,2015
Stay With Me,Sam Smith,2015
CoCo,O.T. Genasis,2015
Beg For It,Iggy Azalea Featuring M0,2015
Don't Tell 'Em,Jeremih Featuring YG,2015
I Don't Mind,Usher Featuring Juicy J,2015
Riptide,Vance Joy,2015
Black Widow,Iggy Azalea Featuring Rita Ora,2015
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,2015
All I Want For Christmas Is You,Mariah Carey,2015
Heroes (We Could Be),Alesso Featuring Tove Lo,2015
Trumpets,Jason Derulo,2015
Shotgun Rider,Tim McGraw,2015
Stolen Dance,Milky Chance,2015
Chandelier,Sia,2015
Something In The Water,Carrie Underwood,2015
Santa Tell Me,Ariana Grande,2015
Feeling Myself,Nicki Minaj Featuring Beyonce,2015
Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2015
Rather Be,Clean Bandit Featuring Jess Glynne,2015
Try Me,DeJ Loaf,2015
Ghost,Ella Henderson,2015
Anaconda,Nicki Minaj,2015
Rude,MAGIC!,2015
Night Changes,One Direction,2015
Talladega,Eric Church,2015
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2015
Velvet,Chris Jamison,2015
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",2015
L.A.LOVE (la la),Fergie,2015
About The Money,T.I. Featuring Young Thug,2015
Sun Daze,Florida Georgia Line,2015
"Mary, Did You Know?",Pentatonix,2015
Perfect Storm,Brad Paisley,2015
I Bet My Life,Imagine Dragons,2015
I See You,Luke Bryan,2015
Bed Of Lies,Nicki Minaj Featuring Skylar Grey,2015
Lost Without U,Chris Jamison & Adam Levine,2015
I Lived,OneRepublic,2015
Masterpiece,Jessie J,2015
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015
Til It's Gone,Kenny Chesney,2015
Dangerous,David Guetta Featuring Sam Martin,2015
Prayer In C,Lillywood & Robin Schulz,2015
Steal My Girl,One Direction,2015
Close Your Eyes,Parmalee,2015
Drinking Class,Lee Brice,2015
Just Gettin' Started,Jason Aldean,2015
Soldier,Damien,2015
Sledgehammer,Fifth Harmony,2015
Make Me Wanna,Thomas Rhett,2015
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015
God Made Girls,RaeLynn,2015
She Knows,Ne-Yo Featuring Juicy J,2015
Somewhere In My Car,Keith Urban,2015
Often,The Weeknd,2015
Mean To Me,Brett Eldredge,2015
Lost Stars,Matt McAndrew & Adam Levine,2015
Girl In A Country Song,Maddie & Tae,2015
Try,Colbie Caillat,2015
Shut Up And Dance,WALK THE MOON,2015
Time Of Our Lives,Pitbull & Ne-Yo,2015
Get On Your Knees,Nicki Minaj Featuring Ariana Grande,2015
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015
Apparently,J. Cole,2015
Like A Cowboy,Randy Houser,2015
Body Language,Kid Ink Featuring Usher & Tinashe,2015
No Love,August Alsina,2015
Break The Rules,Charli xcx,2015
Lonely Eyes,Chris Young,2015
Fireball,Pitbull Featuring John Ryan,2015
Homegrown Honey,Darius Rucker,2015
Wet Dreamz,J. Cole,2015
Yellow Flicker Beat,Lorde,2015
In Your Arms,Nico & Vinz,2015
Earned It (Fifty Shades Of Grey),The Weeknd,2015
Dear Future Husband,Meghan Trainor,2015
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
Style,Taylor Swift,2015
Burnin' Up,Jessie J Featuring 2 Chainz,2015
Something Big,Shawn Mendes,2015
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015
Bad B*tch,French Montana Featuring Jeremih,2015
Neon Light,Blake Shelton,2015
Can't Stop Dancin',Becky G,2015
Shell Shocked,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",2015
Title,Meghan Trainor,2015
Only One,Kanye West Featuring Paul McCartney,2015
Outside,Calvin Harris Featuring Ellie Goulding,2015
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,2015
Take Your Time,Sam Hunt,2015
What We Ain't Got,Jake Owen,2015
Geronimo,Sheppard,2015
A Guy Walks Into A Bar,Tyler Farr,2015
Take It On Back,Chase Bryant,2015
Ain't Worth The Whiskey,Cole Swindell,2015
I Mean It,G-Eazy Featuring Remo,2015
Elastic Heart,Sia,2015
Ayo,Chris Brown & Tyga,2015
Love Me Like You Do,Ellie Goulding,2015
Irresistible,Fall Out Boy,2015
Best Friends,Sophia Grace,2015
Blank Space,I Prevail,2015
Not For Long,B.o.B Featuring Trey Songz,2015
Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015
All About It,Hoodie Allen Featuring Ed Sheeran,2015
Sugar,Maroon 5,2015
Heartbeat Song,Kelly Clarkson,2015
Homegrown,Zac Brown Band,2015
Uma Thurman,Fall Out Boy,2015
Glory,Common & John Legend,2015
Say You Do,Dierks Bentley,2015
The Body,Wale Featuring Jeremih,2015
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015
Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015
Worth It,Fifth Harmony Featuring Kid Ink,2015
Trap Queen,Fetty Wap,2015
Somebody,Natalie La Rose Featuring Jeremih,2015
Immortals,Fall Out Boy,2015
Slow Motion,Trey Songz,2015
Shots,Imagine Dragons,2015
Budapest,George Ezra,2015
Chains,Nick Jonas,2015
Talking Body,Tove Lo,2015
I Bet,Ciara,2015
Work It,"Missy ""Misdemeanor"" Elliott",2015
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",2015
Blessings,Big Sean Featuring Drake,2015
Lay Me Down,Sam Smith,2015
A Little Too Much,Shawn Mendes,2015
Hotel,Kid Ink Featuring Chris Brown,2015
Out The Speakers,A-Trak + Milo & Otis Featuring Rich Kidz,2015
Girl Crush,Little Big Town,2015
Energy,Drake,2015
Little Red Wagon,Miranda Lambert,2015
One Last Time,Ariana Grande,2015
Preach,Drake Featuring PARTYNEXTDOOR,2015
Legend,Drake,2015
10 Bands,Drake,2015
Used To,Drake Featuring Lil Wayne,2015
Where You Belong,The Weeknd,2015
"Honey, I'm Good.",Andy Grammer,2015
I Put A Spell On You,Annie Lennox,2015
Keep Your Money,Empire Cast Featuring Jussie Smollett,2015
What Kind Of Man,Florence + The Machine,2015
Wonderland,Taylor Swift,2015
Know Yourself,Drake,2015
No Tellin',Drake,2015
6 God,Drake,2015
Now & Forever,Drake,2015
6 Man,Drake,2015
Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea,2015
I Want You To Know,Zedd Featuring Selena Gomez,2015
First Kiss,Kid Rock,2015
You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,2015
All Your Fault,Big Sean Featuring Kanye West,2015
You Are In Love,Taylor Swift,2015
Nobody Love,Tori Kelly,2015
Smoke,A Thousand Horses,2015
Raise 'Em Up,Keith Urban Featuring Eric Church,2015
One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,2015
Watch Me,Silento,2015
Paradise,Big Sean,2015
All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",2015
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,2015
I Really Like You,Carly Rae Jepsen,2015
New Romantics,Taylor Swift,2015
Don't It,Billy Currington,2015
Adore,Cashmere Cat Featuring Ariana Grande,2015
She Don't Love You,Eric Paslay,2015
Monster,Meek Mill,2015
Where Are U Now,Skrillex & Diplo With Justin Bieber,2015
Believe,Mumford & Sons,2015
Want To Want Me,Jason Derulo,2015
Games,Luke Bryan,2015
Bills,LunchMoney Lewis,2015
Bright,Echosmith,2015
Wild Child,Kenny Chesney With Grace Potter,2015
Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,2015
Little Toy Guns,Carrie Underwood,2015
See You Again,Wiz Khalifa Featuring Charlie Puth,2015
King Kunta,Kendrick Lamar,2015
The Blacker The Berry,Kendrick Lamar,2015
Alright,Kendrick Lamar,2015
Fairly Local,Twenty One Pilots,2015
Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat,2015
These Walls,"Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat",2015
Sippin' On Fire,Florida Georgia Line,2015
Institutionalized,"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",2015
B**** Better Have My Money,Rihanna,2015
El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,2015
Trouble,Iggy Azalea Featuring Jennifer Hudson,2015
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015
Failure,Breaking Benjamin,2015
Baby Blue,Action Bronson Featuring Chance The Rapper,2015
Love You Like That,Canaan Smith,2015
You Know You Like It,DJ Snake & AlunaGeorge,2015
Like A Wrecking Ball,Eric Church,2015
Get Low,Dillon Francis & DJ Snake,2015
The Matrimony,Wale Featuring Usher,2015
Good Lovin,Ludacris Featuring Miguel,2015
Love Me Like You Mean It,Kelsea Ballerini,2015
Commas,Future,2015
Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",2015
Tear In My Heart,Twenty One Pilots,2015
Crash And Burn,Thomas Rhett,2015
Goodbye,Who Is Fancy,2015
Baby Be My Love Song,Easton Corbin,2015
Lean On,Major Lazer X DJ Snake Featuring MO,2015
Nasty Freestyle,T-Wayne,2015
Fight Song,Rachel Platten,2015
American Oxygen,Rihanna,2015
Sangria,Blake Shelton,2015
Be Real,Kid Ink Featuring DeJ Loaf,2015
Imagine,Sawyer Fredericks,2015
Renegades,X Ambassadors,2015
House Of The Rising Sun,Kimberly Nichole,2015
Hallelujah,Panic! At The Disco,2015
Nothing Without Love,Nate Ruess,2015
Nasty,Bandit Gang Marco Featuring Dro,2015
Make It Rain,Koryn Hawthorne,2015
Cheerleader,OMI,2015
Flex (Ooh Ooh Ooh),Rich Homie Quan,2015
I Don't Get Tired (#IDGT),Kevin Gates Featuring August Alsina,2015
Iris,Sawyer Fredericks,2015
Simple Man,Sawyer Fredericks,2015
Infinity,Mariah Carey,2015
Stressed Out,Twenty One Pilots,2015
Flicka Da Wrist,Chedda Da Connect,2015
Tonight Looks Good On You,Jason Aldean,2015
One Hell Of An Amen,Brantley Gilbert,2015
Crushin' It,Brad Paisley,2015
Pretty Girls,Britney Spears & Iggy Azalea,2015
Coffee,Miguel,2015
I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",2015
Classic Man,Jidenna Featuring Roman GianArthur,2015
The Night Is Still Young,Nicki Minaj,2015
Shine On,Sawyer Fredericks,2015
I'm Comin' Over,Chris Young,2015
This Summer's Gonna Hurt...,Maroon 5,2015
How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",2015
Fun,Pitbull Featuring Chris Brown,2015
Photograph,Ed Sheeran,2015
Beautiful Life,Nick Fradiani,2015
A Thousand Years,Sawyer Fredericks,2015
Kick The Dust Up,Luke Bryan,2015
Please,Sawyer Fredericks,2015
Old Man,Sawyer Fredericks,2015
Flashlight,Jessie J,2015
Beautiful Now,Zedd Featuring Jon Bellion,2015
Change My Mind,Meghan Linsey,2015
The Hills,The Weeknd,2015
L$D,A$AP Rocky,2015
Electric Body,A$AP Rocky Featuring ScHoolboy Q,2015
Stitches,Shawn Mendes,2015
Loving You Easy,Zac Brown Band,2015
Young & Crazy,Frankie Ballard,2015
Buy Me A Boat,Chris Janson,2015
You Changed Me,Jamie Foxx Featuring Chris Brown,2015
Kiss You In The Morning,Michael Ray,2015
Planez,Jeremih Featuring J. Cole,2015
Phenomenal,Eminem,2015
"Ulay, Oh",How I Became The Bomb,2015
House Party,Sam Hunt,2015
Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,2015
Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B,2015
Hell Of A Night,Dustin Lynch,2015
Can't Feel My Face,The Weeknd,2015
3500,Travi$ Scott Featuring Future & 2 Chainz,2015
"John Cougar, John Deere, John 3:16",Keith Urban,2015
Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,2015
This Could Be Us,Rae Sremmurd,2015
Lose My Mind,Brett Eldredge,2015
Ghost Town,Adam Lambert,2015
B**** I'm Madonna,Madonna Featuring Nicki Minaj,2015
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015
Sparks,Hilary Duff,2015
Good Thing,Sage The Gemini Featuring Nick Jonas,2015
Good For You,Selena Gomez Featuring A$AP Rocky,2015
No Sleeep,Janet Featuring J. Cole,2015
"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,2015
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015
Yoga,Janelle Monae & Jidenna,2015
Real Life,Jake Owen,2015
Like I Can,Sam Smith,2015
Check,Young Thug,2015
679,Fetty Wap Featuring Remy Boyz,2015
Cool For The Summer,Demi Lovato,2015
R.I.C.O.,Meek Mill Featuring Drake,2015
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,2015
Do It Again,Pia Mia Featuring Chris Brown & Tyga,2015
Bad For You,Meek Mill Featuring Nicki Minaj,2015
My Way,Fetty Wap Featuring Monty,2015
Brother,NEEDTOBREATHE Featuring Gavin DeGraw,2015
Love Is Your Name,Steven Tyler,2015
Lord Knows,Meek Mill,2015
Jump Out The Face,Meek Mill Featuring Future,2015
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015
Ex's & Oh's,Elle King,2015
Break Up With Him,Old Dominion,2015
Kings Never Die,Eminem Featuring Gwen Stefani,2015
Should've Been Us,Tori Kelly,2015
Fly,Maddie & Tae,2015
Burning House,Cam,2015
She's Kinda Hot,5 Seconds Of Summer,2015
How Deep Is Your Love,Calvin Harris & Disciples,2015
Where Ya At,Future Featuring Drake,2015
Strip It Down,Luke Bryan,2015
Locked Away,R. City Featuring Adam Levine,2015
Blow A Bag,Future,2015
Anything Goes,Florida Georgia Line,2015
Save It For A Rainy Day,Kenny Chesney,2015
Dance Like We're Making Love,Ciara,2015
Fire N Gold,Bea Miller,2015
Cheyenne,Jason Derulo,2015
Drag Me Down,One Direction,2015
Back To Back,Drake,2015
Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",2015
Omen,Disclosure Featuring Sam Smith,2015
Hotline Bling,Drake,2015
Charged Up,Drake,2015
100,The Game Featuring Drake,2015
Comfortable,K Camp,2015
Let Me See Ya Girl,Cole Swindell,2015
Here,Alessia Cara,2015
If Only,Dove Cameron,2015
Again,Fetty Wap,2015
High By The Beach,Lana Del Rey,2015
Love Myself,Hailee Steinfeld,2015
Nothin' Like You,Dan + Shay,2015
Gonna Wanna Tonight,Chase Rice,2015
Black Magic,Little Mix,2015
100 Grandkids,Mac Miller,2015
Straight Outta Compton,N.W.A,2015
Hit The Quan,iLoveMemphis,2015
Boyz-N-The Hood,Eazy-E,2015
The Fix,Nelly Featuring Jeremih,2015
Fly Away,5 Seconds Of Summer,2015
Smoke Break,Carrie Underwood,2015
Levels,Nick Jonas,2015
No Role Modelz,J. Cole,2015
Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015
Liquor,Chris Brown,2015
About You,Trey Songz,2015
Cecilia And The Satellite,Andrew McMahon In The Wilderness,2015
I'm To Blame,Kip Moore,2015
What Do You Mean?,Justin Bieber,2015
Wildest Dreams,Taylor Swift,2015
Prisoner,The Weeknd Featuring Lana Del Rey,2015
Tell Your Friends,The Weeknd,2015
Acquainted,The Weeknd,2015
Real Life,The Weeknd,2015
Roots,Imagine Dragons,2015
Shameless,The Weeknd,2015
Losers,The Weeknd Featuring Labrinth,2015
Dark Times,The Weeknd Featuring Ed Sheeran,2015
Jet Black Heart,5 Seconds Of Summer,2015
New Americana,Halsey,2015
In The Night,The Weeknd,2015
Antidote,Travis Scott,2015
Burn Slow,Wiz Khalifa Featuring Rae Sremmurd,2015
White Iverson,Post Malone,2015
Ginza,J Balvin,2015
Same Old Love,Selena Gomez,2015
Right Hand,Drake,2015
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,2015
Gonna,Blake Shelton,2015
Nothing But Trouble (Instagram Models),Lil Wayne & Charlie Puth,2015
Hold My Hand,Jess Glynne,2015
Firestone,Kygo Featuring Conrad,2015
Hide Away,Daya,2015
Come Get Her,Rae Sremmurd,2015
On My Mind,Ellie Goulding,2015
Jumpman,Drake & Future,2015
Infinity,One Direction,2015
RGF Island,Fetty Wap,2015
Diamonds Dancing,Drake & Future,2015
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2015
